date_AE,dep_nr,region,avs,nr_machine,unit_capacity,Pmax_parc,H_total,H_hub,D_rotor,prod_annuel_MWh,gps_lon,gps_lat
2019-11-09,62,Haut-de-France,NA,5,3.45,17.25,150,91.5,117,NA,NA,NA
2019-05-17,62,Haut-de-France,NA,10,3.37,33.7,150,92.5,117,100000,NA,NA
2019-06-03,62,Haut-de-France,NA,4,3.6,14.4,150,89,117,40300,NA,NA
2019-03-13,62,Haut-de-France,7.017012119293213,4,3.2,12.8,156,99.5,113,NA,3.000070229024072,50.40205723068037
2019-12-23,62,Haut-de-France,NA,11,3,32.35,206,135,115,NA,NA,NA
2019-02-11,62,Haut-de-France,7.624213695526123,5,3.6,18,150,82,130,54000,1.927766152625722,50.34918070992079
2019-12-06,62,Haut-de-France,NA,2,3.2,6.4,NA,92,NA,NA,NA,NA
2019-12-06,62,Haut-de-France,NA,5,2.2,11,NA,NA,NA,NA,NA,NA
2019-06-03,62,Haut-de-France,NA,4,3,12,150,92,117,38848,NA,NA
2019-03-07,62,Haut-de-France,8.477449417114258,4,3.3,13.2,136.5,85,100,30960,2.213282601613764,50.55244449132999
2019-02-04,62,Haut-de-France,8.568741798400879,3,3.3,9.9,130,70,100,22700,2.195477875470833,50.5592953794358
2019-10-28,70,Bourgogne-Franche-Comté,5.994863986968994,6,3,18,192,NA,NA,NA,5.618092461273707,47.53803541011318
2019-10-28,70,Bourgogne-Franche-Comté,6.025099277496338,5,3,15,192,NA,NA,NA,5.625814641403899,47.53008015319398
2019-10-28,70,Bourgogne-Franche-Comté,6.086393356323242,4,3,12,192,NA,NA,NA,5.6108380533867885,47.5164026312761
2019-07-03,70,Bourgogne-Franche-Comté,6.764326572418213,6,3,18,180,NA,NA,NA,5.631084499008344,47.674167649327934
2019-11-15,72,Pays de la Loire,NA,3,3.6,10.8,172,106,132,NA,NA,NA
2019-06-14,72,Pays de la Loire,6.8256707191467285,4,3,12,NA,120,NA,NA,0.4312665034571201,48.249904555958985
2019-06-14,72,Pays de la Loire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-07,79,Nouvelle-Aquitaine,7.302728176116943,6,4.2,27,NA,NA,NA,74000,-0.5713785389928723,46.53241538221231
2019-08-18,80,Haut-de-France,NA,12,2.85,34.2,150,91,117,85500,NA,NA
2019-08-02,80,Haut-de-France,7.092350006103516,6,2.4,14.4,150,95,110,NA,2.0270948423767923,49.90923196987482
2019-12-11,80,Haut-de-France,7.089564323425293,5,3.2,16,193.33,135.48,115.7,41000,2.591888904396878,49.62976242842627
2019-12-17,80,Haut-de-France,NA,8,3.6,28.8,150,91.5,117,NA,NA,NA
2019-09-17,85,Pays de la Loire,NA,6,2.35,14.1,140,NA,NA,NA,NA,NA
2019-10-25,85,Pays de la Loire,7.067263126373291,5,2.2,11,145,95,100,NA,-0.6899154913371692,46.465442591656355
2019-03-11,85,Pays de la Loire,NA,6,1.65,9.9,90,NA,NA,NA,NA,NA
2019-04-02,86,Nouvelle-Aquitaine,NA,5,3.6,18,185.9,127.5,116.8,43200,NA,NA
2019-07-11,86,Nouvelle-Aquitaine,7.09723424911499,3,3,9,165.12,96,132,22563,0.3286243220292311,46.34348155036934
2019-10-29,86,Nouvelle-Aquitaine,7.263106822967529,6,3.6,21.6,150,87,126,49400,0.4190740092249889,46.175500485864006
2019-10-16,86,Nouvelle-Aquitaine,7.075171947479248,9,4.2,37.8,180,112,136,93740,0.29347284741850327,46.19237326284175
2019-03-27,86,Nouvelle-Aquitaine,NA,3,3.45,10.35,165,102,126,NA,-1.290980635277959,-1.7347291659241115
2019-10-22,86,Nouvelle-Aquitaine,NA,4,3.6,14.4,180,114.5,131,NA,NA,NA
2019-11-13,86,Nouvelle-Aquitaine,7.633562564849853,4,3,12,178.4,120,116.8,40679,0.8699661258661319,46.31369770504156
2019-04-10,86,Nouvelle-Aquitaine,7.617300510406494,4,3.2,12.8,179.9,122.05,115.7,27520,0.7282449553967132,46.207722177060326
2019-06-11,86,Nouvelle-Aquitaine,7.038327217102051,5,3,15,150,102,96,NA,0.4433358860067329,46.39393426900047
2019-01-08,86,Nouvelle-Aquitaine,6.917288303375244,6,2,12,126.25,NA,NA,NA,0.24478001044245307,46.86390287723432
2019-10-07,86,Nouvelle-Aquitaine,7.261296272277832,5,2.4,12,149.5,91,117,27000,0.5292546811986304,46.18624718148619
2019-05-14,86,Nouvelle-Aquitaine,7.068629264831543,4,3,12,180,117,126,31400,0.5402027526446511,46.32674825012995
2019-10-16,86,Nouvelle-Aquitaine,7.126596927642822,5,3.6,18,180,112,136,50025,0.4866544560678517,46.31447120926354
2019-05-14,87,Nouvelle-Aquitaine,7.632862567901611,4,3.45,13.8,180,112,136,31180,0.8722863008261605,46.21728285047607
2019-06-05,87,Nouvelle-Aquitaine,7.348430633544922,6,3.6,21.6,180,114,132,54000,1.175779765788474,46.187589513490344
2019-12-20,87,Nouvelle-Aquitaine,NA,4,3,12,180,117,126,36000,2.7512353814874775,-1.1615406903974734
